"ESTUDIO";"REGISTRO";"CUES";"CCAA";"PROV";"MUN";"CAPITAL";"ENTREV";"TAMUNI";"TIPO_TEL";"SEXO";"EDAD";"P0";"P0A";"PROBVOTO";"RAZONESVOTO";"VOTOCORREO";"DUDACORREO";"VOTOCORREOEMITIDO1";"VOTODUDA1";"VOTODUDA2";"VOTOCORREOEMITIDO2";"VOTOCORREOEMITIDOCONJUNTO";"FIDELVOTOCORREO";"INTENCIONG";"CORREOEMITIDOINTENCIONGR";"ESCIDEOL";"PREFPTE";"PARTICIPACIONG";"RECUVOTOG";"RECUERDO";"CERCANIA";"ESCUELA";"NIVELESTENTREV";"ESTUDIOS";"SITLAB";"RELALAB";"CNO11";"CNO11R";"INGRESHOG";"CLASESOCIAL";"CLASESUB";"SINCERIDAD";"PESO";"PESOCCAA";"IA_I501";"IA_I502";"IA_I503";"IA_I504";"IA_I505";"IA_I506";"IA_I507";"IA_I508";"IA_I509";"IA_I510";"IA_I511";"IA_I512";"IA_I513";"IA_I514";"IA_I515";"IA_I516";"IA_I517";"IA_I518";"IA_I519";"IA_I520";"IA_I521";"IA_I522";"IA_I523";"IA_I524";"IA_I525";"IA_I526";"IA_I528";"IA_I529";"IA_I530";"IA_I531";"IA_I532";"IA_I533";"IA_I534";"IA_I535";"IA_I536";"IA_I537";"IA_I538";"IA_I539";"IA_I540";"IA_I541";"IA_I542";"IA_I543";"IA_OBS1";"IA_OBS2";"IA_E1_DIA";"IA_E1_MES";"IA_E1_ANYO";"IA_E2";"IA_E3";"IA_E4";"IA_VALIDA";"IA_APLAZADA";"IA_MODIFICADA";"IA_SUPERVISADA";"IA_C2";"IA_C2A";"IA_C2B_1";"IA_C2B_2";"IA_C2B_3";"IA_C2B_4";"IA_C2B_5";"IA_C2B_6";"IA_C2B_7";"IA_C2B_8";"IA_C2B_9";"IA_C2B_10";"IA_C2B_11";"IA_C2B_12";"IA_C2B_13";"IA_C2B_14";"IA_C2B_15";"IA_C2B_16";"IA_C2B_17";"IA_C2B_18";"IA_C2B_19";"IA_C2B_20";"IA_C2B_21";"IA_C2B_22";"IA_C2B_23";"IA_C2B_24";"IA_C2B_25";"IA_C3";"IA_C4";"RECUVOTOGR";"VOTOCORREOEMITIDO1R";"VOTODUDA1R";"VOTODUDA2R";"P3A2COM";"VOTOCORREOEMITIDO2R";"INTENCIONGR";"INTENCIONGRA";"INTENCIONGALTER";"INTENCIONGALTERR";"SIMPATIA";"VOTOSIMG";"VOTOSIMGCONJUNTO"
3415;38040;3412;15;31;0;3;0;3;2;1;55;1;1;10;5;4;0;0;0;0;0;0;0;3;3;5;2;1;2;1501;3;3;7;5;1;1;5;5;3;3;2;2;0,93111;0,51991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;"";"";10;7;23;1;17;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1501;0;0;0;0;0;3;3;2;2;0;3;3
3415;45737;4054;15;31;0;3;0;3;2;1;49;1;1;8;5;4;0;0;0;0;0;0;0;1;1;5;1;8;0;9998;1;3;9;6;1;1;1;1;3;3;2;1;0,977;0,70148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;"";"";11;7;23;2;7;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;1;1;3;3;0;1;1
3415;92279;6521;15;31;0;3;0;3;2;1;78;1;1;10;5;4;0;0;0;0;0;0;0;1;1;3;1;1;1;1;1;3;4;3;2;0;0;12;4;4;3;1;1,39828;0,9002;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;18;0;0;0;0;20;3;"";"";12;7;23;3;5;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;0;0;0;0;1;1;9993;9993;0;1;1
3415;96039;6668;15;31;0;3;0;3;2;1;45;1;1;10;97;4;0;0;0;0;0;0;0;9999;9999;2;96;1;9999;9999;1602;3;9;6;1;1;3;3;9;97;6;1;0,977;0,70148;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;3;0;"";"";12;7;23;3;5;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";9999;0;0;0;0;0;9999;9999;0;0;1602;1602;1602
3415;103372;6965;15;31;0;3;0;3;2;1;57;1;1;10;5;4;0;0;0;0;0;0;0;1501;1501;8;2;1;1501;1501;1501;3;9;6;1;2;1;1;3;3;2;1;0,93111;0,51991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";12;7;23;3;7;2;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1501;0;0;0;0;0;1501;8995;2;2;0;1501;1501
3415;119937;8471;15;31;0;3;0;2;2;2;67;1;1;10;3;4;0;0;0;0;0;0;0;2;2;9;2;1;1501;1501;2;3;4;3;2;0;0;12;6;3;2;2;1,34561;1,14923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"";"";12;7;23;3;8;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1501;0;0;0;0;0;2;2;9977;9977;0;2;2
3415;87864;6385;15;31;0;3;0;1;1;1;33;1;1;5;3;4;0;0;0;0;0;0;0;9998;9998;5;98;1;1;1;9998;3;7;5;4;0;0;16;1;3;2;2;1,25279;0,78881;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;4;0;"";"";12;7;23;3;12;1;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;0;0;0;0;9998;9999;0;0;1;1;1
3415;108706;7491;15;31;0;3;0;1;2;1;49;1;1;10;5;4;0;0;0;0;0;0;0;1;1;5;1;1;1;1;1;3;9;6;1;1;1;1;9;3;2;2;1,02859;0,7487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;"";"";12;7;23;3;9;3;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1;0;0;0;0;0;1;1;9993;9993;0;1;1
3415;121945;8643;15;31;0;3;0;1;2;1;25;1;1;0;97;9;0;0;0;0;0;0;0;9997;9997;99;97;2;0;9997;9997;3;4;3;1;3;9;9;6;6;5;3;1,25279;0,78881;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;7;0;"";"";12;7;23;3;10;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;0;0;0;9997;9997;0;0;9997;9997;9997
3415;123756;8784;15;31;0;3;0;2;2;1;67;1;1;10;5;4;0;0;0;0;0;0;0;1501;1501;8;2;1;1501;1501;1501;3;6;4;2;0;0;12;3;3;2;2;1,23919;0,98124;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;8;1;0;0;0;4;0;"";"";12;7;23;3;8;4;1;0;0;0;1;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";1501;0;0;0;0;0;1501;8995;2;2;0;1501;1501
